timestamp,machine_id,cycle_time_sec,Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,Power_Consumption_kW,Operational_Hours,Error_Codes_Last_30_Days,sensor_anomaly_score,AI_Override_Events,flag_temperature_high,flag_vibration_high,flag_sound_high,flag_oil_low,flag_coolant_low,flag_pressure_low,flag_coolant_flow_low,flag_heat_high,flag_power_high,flag_error_codes_high,flag_anomaly_high,degradation_score,degradation_rate_pct,predicted_failure_probability,Remaining_Useful_Life_days,Failure_Within_7_Days,Maintenance_Required_Within_45_Days
2026-01-01 06:00:00,M01,40.95,58.12,1.52,66.0,88.49,81.59,119.22,35.81,63.43,45.8,928.32,2.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,284.0,0,0.0
2026-01-01 06:00:00,M02,49.89,63.51,2.66,72.54,81.85,88.39,127.9,32.51,71.18,54.16,1315.04,2.0,0.534,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213,243.1,0,0.0
2026-01-01 06:00:00,M03,49.21,60.15,1.82,69.36,80.58,76.3,141.81,33.12,58.96,38.12,1130.04,3.0,0.102,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,297.0,0,0.0
2026-01-01 06:00:00,M04,50.24,70.83,2.96,73.86,74.52,73.01,123.26,30.5,77.52,48.91,1587.87,0.0,0.445,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.2,0.38,211.8,0,0.0
2026-01-01 06:05:00,M01,47.78,62.92,1.64,66.0,98.05,81.15,137.01,34.02,66.58,43.77,919.57,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,318.1,0,0.0
2026-01-01 06:05:00,M02,49.0,68.65,2.45,73.52,75.31,88.39,127.94,28.11,73.94,49.39,1310.53,2.0,0.491,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,246.0,0,0.0
2026-01-01 06:05:00,M03,47.69,63.98,2.66,72.77,80.89,81.62,137.01,25.79,71.85,46.38,1142.14,3.0,0.305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,259.0,0,0.0
2026-01-01 06:05:00,M04,50.63,70.83,2.72,82.96,72.03,72.59,130.63,28.31,73.02,50.19499999999999,1591.2,4.0,0.749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.1,27.0,0.398,197.1,0,0.0
2026-01-01 06:10:00,M01,46.99,62.42,1.83,73.09,83.58,80.87,132.39499999999998,29.08,61.34,41.77,943.12,3.0,0.196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,256.0,0,0.0
2026-01-01 06:10:00,M02,48.4,60.25,2.2,74.54,87.49,88.39,127.98,26.73,64.12,48.78,1306.75,3.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,249.05,0,0.0
2026-01-01 06:10:00,M03,46.26,58.15,2.34,78.3,84.61,78.02,126.84,39.05,68.69,43.21,1157.11,0.0,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,242.1,0,0.0
2026-01-01 06:10:00,M04,48.93,60.12,2.17,73.34,79.3,79.01,113.54,32.81,70.92,51.48,1575.87,2.0,0.356,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274,259.95,0,0.0
2026-01-01 06:15:00,M01,47.43,67.66,1.98,69.63,84.41,89.11,127.78,28.72,64.55,41.46,930.17,2.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.8,0,0.0
2026-01-01 06:15:00,M02,45.01,68.04,2.77,76.97,76.16,65.28,117.38,30.41,76.96,42.5,1051.43,1.0,0.304,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,9.2,0.336,213.3,0,0.0
2026-01-01 06:15:00,M03,44.44,69.62,3.2,80.4,86.625,83.71,120.02,28.89,69.95,50.23,1172.69,0.0,0.414,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.2,0.371,220.3,0,0.0
2026-01-01 06:15:00,M04,47.45,65.04,2.88,76.27,82.13,73.22,134.63,31.15,74.66,46.57,1570.28,5.0,0.396,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.8,25.0,0.311,192.3,0,0.0
2026-01-01 06:20:00,M01,40.19,56.79,1.98,73.87,83.51,85.27,136.61,30.5,67.13,43.7,920.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.045,328.7,0,0.0
2026-01-01 06:20:00,M02,51.19,67.89,1.73,75.76,75.57,72.25,133.31,30.13,66.93,48.94,1318.13,1.0,0.408,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.145,246.2,0,0.0
2026-01-01 06:20:00,M03,45.11,64.44,1.94,76.96,88.64,89.02,123.48,32.79,63.19,38.11,1453.64,5.0,0.413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8,11.8,0.24,244.2,0,0.0
2026-01-01 06:20:00,M04,43.53,76.71,3.22,75.58,73.15,78.65,120.49,29.39,73.67,46.01,1589.15,4.0,0.493,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.4,42.1,0.589,152.3,0,0.0
2026-01-01 06:25:00,M01,50.17,63.58,1.98,73.04,78.57,88.72,134.155,35.3,61.45,41.19,943.35,1.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,302.2,0,0.0
2026-01-01 06:25:00,M02,48.955,73.6,3.61,71.02,73.17,64.96,122.26,36.3,66.75,46.769999999999996,1316.72,6.0,0.294,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.8,44.7,0.429,172.7,0,0.0
2026-01-01 06:25:00,M03,51.09,59.26,3.32,77.29,87.86,82.73,129.23,35.09,74.88,49.1,1161.78,2.0,0.265,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.2,0.283,224.5,0,0.0
2026-01-01 06:25:00,M04,49.18,70.22,2.88,70.71,77.17,74.27,116.77,27.63,79.63,49.81,1602.37,5.0,0.2815,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,32.9,0.462,143.3,0,0.0
2026-01-01 06:30:00,M01,40.94,65.13,1.68,70.93,81.85,83.4,131.7,39.49,59.49,42.63,941.7,2.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,196.85000000000002,0,0.0
2026-01-01 06:30:00,M02,46.72,71.16,2.94,75.21,81.84,80.0,121.44,33.56,65.38,44.6,1306.73,3.0,0.473,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.2,0.291,250.4,0,0.0
2026-01-01 06:30:00,M03,45.69,62.1,2.87,77.28,87.08,74.06,120.92,32.57,66.1,47.65,1163.6,5.0,0.339,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8,11.8,0.372,209.6,0,0.0
2026-01-01 06:30:00,M04,47.76,71.79,3.5,79.89,68.91,69.28,97.39,28.83,75.62,50.26,1604.15,3.0,0.634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.9,32.2,0.494,141.5,0,0.0
2026-01-01 06:35:00,M01,43.77,60.47,1.95,68.82,79.76,78.33,132.19,36.644999999999996,66.24,45.54,949.58,4.0,0.377,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.8,11.8,0.238,248.3,0,0.0
2026-01-01 06:35:00,M02,44.41,68.72,2.33,77.2,74.73,79.76,124.66,30.84,70.79,53.19,1322.22,2.0,0.465,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,247.1,0,0.0
2026-01-01 06:35:00,M03,48.29,67.58,2.42,75.13,81.61,74.49,124.55,30.69,65.26,44.38,1152.04,1.0,0.322,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,249.0,0,0.0
2026-01-01 06:35:00,M04,44.93,72.29,3.44,72.57,85.94,75.8,127.26,28.64,72.63,54.58,1590.83,4.0,0.521,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4,35.5,0.491,165.9,0,0.0
2026-01-01 06:40:00,M01,46.38,59.59,1.76,75.83,80.97,83.53,144.99,33.8,68.3,39.71,927.36,2.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,289.8,0,0.0
2026-01-01 06:40:00,M02,52.0,61.06,2.49,74.44,86.08,72.36,130.71,33.5,65.5,50.0,1318.14,3.0,0.499,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,221.4,0,0.0
2026-01-01 06:40:00,M03,44.46,65.55,2.05,71.91,81.75,80.71,129.42,26.43,70.81,50.68,1148.98,3.0,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,268.2,0,0.0
2026-01-01 06:40:00,M04,49.53,71.07,3.3899999999999997,83.52,67.2,57.51,121.29,26.09,81.14,49.2,1607.27,5.0,0.672,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8.7,57.2,0.6,284.85,0,1.0
2026-01-01 06:45:00,M01,44.06,66.11,1.83,66.72,93.27,84.06,134.7,30.86,75.96,43.18,933.13,1.0,0.127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,301.5,0,0.0
2026-01-01 06:45:00,M02,45.74,63.85,2.22,79.84,79.42,78.60499999999999,126.34,30.98,74.8,46.3,1317.68,3.0,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635,245.1,0,0.0
2026-01-01 06:45:00,M03,49.46,71.94,2.35,70.56,80.64,85.06,129.06,34.12,68.91,50.85,1155.05,4.0,0.496,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8,11.8,0.201,220.8,0,0.0
