timestamp,plant_id,supplier_id,supplier_name,raw_material_id,raw_material_name,purchase_order_id,delivery_id,planned_delivery_date,actual_delivery_date,supplier_delay_days,received_qty,ordered_qty,delivery_status,transport_type,logistics_incident_flag,customs_delay_flag,warehouse_id,stock_level,safety_stock,reorder_point,stockout_flag,inventory_turnover,reserved_stock_qty,available_stock_qty,damaged_stock_qty,shipment_id,customer_id,customer_region,shipment_date,estimated_arrival_date,actual_arrival_date,shipping_delay_days,shipped_qty,returned_qty,return_reason,logistics_cost
2026-01-01 06:00:00,FR02,SUP004,Fluides Techniques,RM004,Fluide hydraulique,PO000000001,DEL000000001,2026-01-10 06:00:00,2026-01-09 06:00:00,-1.0,609.0,611.0,on_time,camion,False,False,WH_FR01,843.0,204.0,413.0,False,3.39,119.0,724.0,0.0,SHP000000001,CUS001,Europe du Sud,2026-01-02 06:00:00,2026-01-05 06:00:00,2026-01-05 06:00:00,0.0,523.0,2.0,damaged_transport,857.94
2026-01-01 06:05:00,FR01,SUP001,Aciers Rhône,RM001,Acier allié 42CrMo4,PO000000002,DEL000000002,2026-01-07 06:05:00,2026-01-07 06:05:00,0.0,206.0,209.0,on_time,unknown,False,False,WH_FR01,791.0,152.0,376.0,False,10.49,149.0,640.0,2.0,SHP000000002,CUS002,Europe du Nord,2026-01-02 06:05:00,2026-01-07 06:05:00,2026-01-07 06:05:00,0.0,442.0,2.0,quality,531.45
2026-01-01 06:10:00,FR01,SUP002,Alu Iberica,RM002,Aluminium 7075,PO000000003,DEL000000003,2026-01-15 06:10:00,2026-01-14 06:10:00,-1.0,1052.0,1056.0,on_time,rail,False,False,WH_FR01,782.0,246.0,354.0,False,8.075,172.0,608.0,2.0,SHP000000003,CUS001,International,2026-01-02 06:10:00,2026-01-09 06:10:00,2026-01-09 06:10:00,0.0,594.0,3.0,wrong_quantity,960.37
2026-01-01 06:15:00,FR01,SUP001,Aciers Rhône,RM001,Acier allié 42CrMo4,PO000000004,DEL000000004,2026-01-12 06:15:00,2026-01-11 06:15:00,-1.0,1131.0,1133.0,on_time,camion,False,False,WH_FR01,777.0,174.0,375.0,False,5.66,161.0,614.0,2.0,SHP000000004,CUS003,France,2026-01-02 06:15:00,2026-01-06 06:15:00,2026-01-05 06:15:00,-1.0,440.0,1.0,damaged_transport,442.92
2026-01-01 06:20:00,FR01,SUP002,Alu Iberica,RM002,Aluminium 7075,PO000000005,DEL000000005,2026-01-05 06:20:00,2026-01-05 06:20:00,0.0,283.0,286.0,on_time,rail,False,False,WH_ES01,944.0,242.0,326.0,False,8.15,330.0,611.0,3.0,SHP000000005,CUS004,Europe du Nord,2026-01-04 06:20:00,2026-01-11 06:20:00,2026-01-10 06:20:00,-1.0,839.0,0.0,unknown,583.18
2026-01-01 06:25:00,FR01,SUP003,Composites Europe,RM003,Composite carbone,PO000000006,DEL000000006,2026-01-07 06:25:00,2026-01-05 06:25:00,-2.0,370.0,376.0,on_time,bateau,False,False,WH_FR01,788.0,282.0,527.0,False,4.47,219.0,567.0,2.0,SHP000000006,CUS003,International,2026-01-02 06:25:00,2026-01-09 06:25:00,2026-01-08 06:25:00,-1.0,282.0,1.0,damaged_transport,446.51
2026-01-01 06:30:00,FR01,SUP002,Alu Iberica,RM002,Aluminium 7075,PO000000007,DEL000000007,2026-01-04 06:30:00,2026-01-15 06:30:00,11.0,733.0,736.0,delayed,rail,True,False,WH_ES01,490.0,236.0,319.0,False,6.87,47.0,442.0,1.0,SHP000000007,CUS002,International,2026-01-07 06:30:00,2026-01-14 06:30:00,2026-01-16 06:30:00,2.0,207.0,2.0,damaged_transport,391.54
2026-01-01 06:35:00,FR01,SUP001,Aciers Rhône,RM001,Acier allié 42CrMo4,PO000000008,DEL000000008,2026-01-12 06:35:00,2026-01-11 06:35:00,-1.0,1023.0,1025.0,on_time,camion,False,False,WH_FR01,626.0,242.0,351.0,False,6.68,77.0,549.0,0.0,SHP000000008,CUS004,Europe du Sud,2026-01-05 06:35:00,2026-01-14 06:35:00,2026-01-14 06:35:00,0.0,514.0,0.0,unknown,462.92
2026-01-01 06:40:00,FR01,SUP004,Fluides Techniques,RM004,Fluide hydraulique,PO000000009,DEL000000009,2026-01-15 06:40:00,2026-01-14 06:40:00,-1.0,305.0,986.5,on_time,camion,False,False,WH_ES01,521.0,240.0,368.0,False,12.18,224.0,297.0,0.0,SHP000000009,CUS004,International,2026-01-06 06:40:00,2026-01-07 06:40:00,2026-01-06 06:40:00,-1.0,287.0,2.0,wrong_quantity,407.42
2026-01-01 06:45:00,FR02,SUP002,Alu Iberica,RM002,Aluminium 7075,PO000000010,DEL000000010,2026-01-08 06:45:00,2026-01-07 06:45:00,-1.0,943.0,948.0,on_time,rail,False,False,WH_ES01,471.0,138.0,239.0,False,6.54,283.0,187.0,1.0,SHP000000010,CUS001,Europe du Nord,2026-01-04 06:45:00,2026-01-06 06:45:00,2026-01-07 06:45:00,1.0,854.0,1.0,wrong_quantity,632.07
2026-01-01 06:50:00,FR02,SUP003,Composites Europe,RM003,Composite carbone,PO000000011,DEL000000011,2026-01-14 06:50:00,2026-01-22 06:50:00,8.0,891.0,894.0,delayed,bateau,True,True,WH_FR01,612.0,299.0,525.0,False,7.59,289.0,322.0,1.0,SHP000000011,CUS002,International,2026-01-05 06:50:00,2026-01-06 06:50:00,2026-01-10 06:50:00,4.0,487.0,2.0,quality,467.0
2026-01-01 06:55:00,FR02,SUP003,Composites Europe,RM003,Composite carbone,PO000000012,DEL000000012,2026-01-14 06:55:00,2026-01-12 06:55:00,-2.0,945.0,949.0,on_time,bateau,False,False,WH_ES01,724.0,122.0,341.0,False,13.92,89.0,633.0,2.0,SHP000000012,CUS001,France,2026-01-07 06:55:00,2026-01-11 06:55:00,2026-01-12 06:55:00,1.0,729.0,2.0,damaged_transport,1062.88
2026-01-01 07:00:00,FR02,SUP001,Aciers Rhône,RM001,Acier allié 42CrMo4,PO000000013,DEL000000013,2026-01-09 07:00:00,2026-01-07 07:00:00,-2.0,167.0,173.0,on_time,camion,False,False,WH_FR01,732.0,127.0,370.0,False,3.72,213.0,518.0,1.0,SHP000000013,CUS002,France,2026-01-07 07:00:00,2026-01-15 07:00:00,2026-01-16 07:00:00,1.0,705.0,1.0,damaged_transport,825.54
2026-01-01 07:05:00,FR02,SUP003,Composites Europe,RM003,Composite carbone,PO000000014,DEL000000014,2026-01-15 07:05:00,2026-01-14 07:05:00,-1.0,690.0,692.0,on_time,bateau,False,False,WH_FR01,910.0,294.0,460.0,False,7.08,139.0,771.0,0.0,SHP000000014,CUS001,France,2026-01-04 07:05:00,2026-01-09 07:05:00,2026-01-08 07:05:00,-1.0,202.0,0.0,unknown,417.8
2026-01-01 07:10:00,FR01,SUP002,Alu Iberica,RM002,Aluminium 7075,PO000000015,DEL000000015,2026-01-08 07:10:00,2026-01-06 07:10:00,-2.0,765.0,771.0,on_time,rail,False,False,WH_FR01,439.0,126.0,217.0,False,4.75,135.0,303.0,1.0,SHP000000015,CUS004,Europe du Sud,2026-01-05 07:10:00,2026-01-10 07:10:00,2026-01-12 07:10:00,2.0,359.0,0.0,quality,441.27
2026-01-01 07:15:00,FR02,SUP002,Alu Iberica,RM002,Aluminium 7075,PO000000016,DEL000000016,2026-01-11 07:15:00,2026-01-11 07:15:00,0.0,1083.0,520.5,on_time,rail,False,False,WH_FR01,1036.0,269.0,376.0,False,7.05,259.0,775.0,2.0,SHP000000016,CUS003,Europe du Sud,2026-01-06 07:15:00,2026-01-10 07:15:00,2026-01-10 07:15:00,0.0,682.0,1.0,quality,666.56
2026-01-01 07:20:00,FR02,SUP002,Alu Iberica,RM002,Aluminium 7075,PO000000017,DEL000000017,2026-01-13 07:20:00,2026-01-13 07:20:00,0.0,265.0,270.0,on_time,rail,False,False,WH_ES01,695.0,143.0,230.0,False,12.0,286.0,406.0,3.0,SHP000000017,CUS003,Europe du Sud,2026-01-04 07:20:00,2026-01-13 07:20:00,2026-01-12 07:20:00,-1.0,92.0,2.0,unknown,337.84
