timestamp,plant_id,production_line_id,machine_id,product_id,batch_id,work_order_id,actual_production_qty,good_qty,scrap_qty,production_speed,machine_status,downtime_minutes,setup_time_minutes,operator_id,inspection_id,dimension_measurement,tolerance_min,tolerance_max,defect_type,defect_category,defect_severity,is_conforming,scrap_flag,rework_required,quality_score,vision_defect_detected,operator_validation
2026-01-01 06:00:00,FR02,L02,M01,P001,BATCH003,WO1003,1121.0,1113.0,8.0,25.67,running,54.0,11.0,OP02,INS0000,10.291,9.5,10.5,no_defect,none,minor,True,False,False,92.0,False,True
2026-01-01 06:05:00,FR01,L02,M01,P001,BATCH002,WO1003,928.0,909.0,19.0,19.1,running,31.0,17.0,OP02,INS0001,10.236,9.5,10.5,no_defect,none,minor,True,False,False,95.0,False,True
2026-01-01 06:10:00,FR01,L03,M03,P002,BATCH001,WO1003,1135.0,1086.0,49.0,24.48,running,49.0,22.0,OP01,INS0002,10.116,9.5,10.5,no_defect,none,minor,True,False,False,98.0,False,True
2026-01-01 06:15:00,FR01,L03,M04,P003,BATCH003,WO1003,1109.0,1084.0,25.0,24.23,running,26.0,23.0,OP01,INS0003,10.166,9.5,10.5,no_defect,none,minor,True,False,False,94.0,False,True
2026-01-01 06:20:00,FR02,L03,M04,P002,BATCH001,WO1001,1002.0,961.0,41.0,21.3,running,20.0,38.0,OP02,INS0004,10.216,9.5,10.5,no_defect,none,minor,True,False,False,97.0,False,True
2026-01-01 06:25:00,FR01,L02,M03,P003,BATCH003,WO1003,865.0,838.0,27.0,16.08,running,22.0,5.0,OP02,INS0005,9.969,9.5,10.5,no_defect,none,minor,True,False,False,91.0,False,True
2026-01-01 06:30:00,FR02,L01,M01,P002,BATCH002,WO1001,991.0,990.0,1.0,19.93,running,12.0,24.0,OP02,INS0006,10.095,9.5,10.5,no_defect,none,minor,True,False,False,99.0,False,True
2026-01-01 06:35:00,FR01,L02,M02,P002,BATCH001,WO1001,1010.0,903.5,44.0,18.62,stopped,22.0,35.0,OP02,INS0007,10.303,9.5,10.5,no_defect,none,minor,True,False,False,97.0,False,True
2026-01-01 06:40:00,FR01,L01,M03,P001,BATCH002,WO1002,862.0,817.0,45.0,20.77,running,12.0,8.0,OP02,INS0008,10.761,9.5,10.5,fissure,esthetique,major,False,True,True,66.0,True,True
2026-01-01 06:45:00,FR01,L02,M04,P003,BATCH001,WO1001,989.0,951.0,40.0,18.1,running,43.0,29.0,OP03,INS0009,10.016,9.5,10.5,no_defect,none,minor,True,False,False,91.0,False,True
2026-01-01 06:50:00,FR02,L02,M04,P002,BATCH002,WO1001,1116.0,1100.0,16.0,26.19,maintenance,17.0,27.0,OP01,INS0010,10.146,9.5,10.5,no_defect,none,minor,True,False,False,96.0,False,True
2026-01-01 06:55:00,FR01,L03,M02,P002,BATCH003,WO1003,985.0,958.0,27.0,23.98,running,207.9232060428032,38.0,OP03,INS0011,9.924,9.5,10.5,no_defect,none,minor,True,False,False,92.0,False,True
2026-01-01 07:00:00,FR02,L02,M01,P001,BATCH002,WO1003,1048.0,1018.0,30.0,22.18,running,37.0,19.0,OP02,INS0012,9.706,9.5,10.5,no_defect,none,minor,True,False,False,94.0,False,True
2026-01-01 07:05:00,FR02,L01,M02,P001,BATCH003,WO1003,1034.0,985.0,211.97761664564942,19.2,running,20.0,5.0,OP01,INS0012,9.986,9.5,10.5,no_defect,none,minor,True,False,False,92.0,False,True
2026-01-01 07:10:00,FR02,L02,M02,P002,BATCH003,WO1003,1062.0,1038.0,24.0,24.02,stopped,14.0,17.0,OP02,INS0014,10.473,9.5,10.5,no_defect,none,minor,True,False,False,94.0,False,True
2026-01-01 07:15:00,FR02,L01,M02,P002,BATCH001,WO1001,986.0,959.0,27.0,20.87,stopped,16.0,34.0,OP02,INS0015,10.193,9.5,10.5,no_defect,none,minor,True,False,False,98.0,False,True
2026-01-01 07:20:00,FR02,L02,M03,P002,BATCH003,WO1001,954.0,916.0,12.0,20.46,stopped,6.0,15.0,OP01,INS0016,9.991,9.5,10.5,no_defect,none,minor,True,False,False,93.0,False,True
2026-01-01 07:25:00,FR01,L02,M03,P003,BATCH001,WO1002,922.0,899.0,23.0,20.05,running,26.0,34.0,OP02,INS0017,10.212,9.5,10.5,no_defect,none,minor,True,False,False,99.0,False,True
2026-01-01 07:30:00,FR02,L03,M02,P003,BATCH001,WO1001,1037.0,1024.0,13.0,20.72,running,15.0,42.0,OP01,INS0018,10.308,9.5,10.5,no_defect,none,minor,True,False,False,91.0,False,True
2026-01-01 07:35:00,FR02,L02,M01,P001,BATCH003,WO1003,1136.0,1122.0,14.0,21.73,maintenance,43.0,12.0,OP03,INS0019,9.975,9.5,10.5,no_defect,none,minor,True,False,False,96.0,False,False
2026-01-01 07:40:00,FR02,L01,M01,P003,BATCH001,WO1001,1013.0,1010.0,3.0,20.64,stopped,20.0,39.0,OP03,INS0020,9.981,9.5,10.5,no_defect,none,minor,True,False,False,98.0,False,True
2026-01-01 07:45:00,FR02,L01,M03,P001,BATCH001,WO1003,1111.0,1083.0,28.0,21.12,running,31.0,7.0,OP03,INS0021,10.17,9.5,10.5,no_defect,none,minor,True,False,False,96.0,False,True
2026-01-01 07:50:00,FR02,L02,M02,P002,BATCH003,WO1003,1131.0,1118.0,13.0,23.06,stopped,59.0,44.0,OP03,INS0022,10.051,9.5,10.5,no_defect,none,minor,True,False,False,92.0,False,True
2026-01-01 07:55:00,FR01,L02,M03,P003,BATCH002,WO1002,965.0,925.0,211.97761664564942,20.5,stopped,26.0,13.0,OP02,INS0023,9.747,9.5,10.5,no_defect,none,minor,True,False,False,90.0,False,True
2026-01-01 08:00:00,FR01,L03,M03,P003,BATCH002,WO1001,856.0,853.0,3.0,16.67,running,17.0,42.0,OP03,INS0024,9.998,9.5,10.5,no_defect,none,minor,True,False,False,94.0,False,True
2026-01-01 08:05:00,FR02,L02,M02,P001,BATCH001,WO1002,931.0,900.0,31.0,148.76200799831614,running,39.0,5.0,OP03,INS0025,10.281,9.5,10.5,no_defect,none,minor,True,False,False,94.0,False,True
2026-01-01 08:10:00,FR01,L03,M02,P003,BATCH001,WO1003,1147.0,1101.0,46.0,148.76200799831614,running,0.0,23.0,OP03,INS0026,10.081,9.5,10.5,no_defect,none,minor,True,False,False,91.0,False,True
2026-01-01 08:15:00,FR01,L01,M02,P002,BATCH003,WO1001,1149.0,1114.0,35.0,26.43,running,7.0,15.0,OP02,INS0027,10.338,9.5,10.5,no_defect,none,minor,True,False,False,94.0,False,True
2026-01-01 08:20:00,FR02,L03,M04,P002,BATCH003,WO1002,895.0,877.0,18.0,20.91,running,9.0,42.0,OP02,INS0028,9.93,9.5,10.5,no_defect,none,minor,True,False,False,93.0,False,True
2026-01-01 08:25:00,FR02,L03,M04,P003,BATCH003,WO1003,1005.0,969.0,36.0,19.59,running,54.0,16.0,OP03,INS0029,10.308,9.5,10.5,no_defect,none,minor,True,False,False,92.0,False,True
2026-01-01 08:30:00,FR02,L02,M02,P003,BATCH003,WO1002,971.0,922.0,49.0,24.1,running,20.0,9.0,OP01,INS0030,9.895,9.5,10.5,no_defect,none,minor,True,False,False,98.0,False,False
2026-01-01 08:35:00,FR02,L02,M03,P003,BATCH002,WO1001,960.0,940.0,20.0,23.48,running,28.0,42.0,OP03,INS0031,10.121,9.5,10.5,no_defect,none,minor,True,False,False,99.0,False,False
2026-01-01 08:40:00,FR01,L02,M04,P003,BATCH002,WO1002,1108.0,1076.0,32.0,26.75,running,59.0,19.0,OP02,INS0032,10.286,9.5,10.5,no_defect,none,minor,True,False,False,95.0,False,True
2026-01-01 08:45:00,FR01,L01,M03,P002,BATCH002,WO1003,860.0,855.0,5.0,16.68,maintenance,29.0,32.0,OP02,INS0033,9.934,9.5,10.5,no_defect,none,minor,True,False,False,90.0,False,True
2026-01-01 08:50:00,FR01,L01,M01,P003,BATCH003,WO1001,992.0,952.0,40.0,24.65,running,51.0,37.0,OP03,INS0034,9.872,9.5,10.5,no_defect,none,minor,True,False,False,92.0,False,True
