timestamp,plant_id,production_line_id,machine_id,product_id,batch_id,work_order_id,actual_production_qty,good_qty,scrap_qty,production_speed,machine_status,downtime_minutes,setup_time_minutes,operator_id,inspection_id,dimension_measurement,tolerance_min,tolerance_max,defect_type,defect_category,defect_severity,is_conforming,scrap_flag,rework_required,quality_score,vision_defect_detected,operator_validation
2026-01-01 06:00:00,FR01,L02,M03,P001,BATCH001,WO1003,869.0,864.0,5.0,18.57,running,13.0,40.0,OP01,INS0000,,9.5,,no_defect,none,minor,True,,False,98.0,False,True
2026-01-01 06:05:00,FR01,L01,M01,P001,BATCH001,WO1001,907.0,889.0,18.0,16.73,maintenance,2.0,10.0,OP02,INS0001,9.863,9.5,10.5,no_defect,none,minor,True,False,False,90.0,False,True
2026-01-01 06:10:00,,L02,M03,P002,BATCH003,WO1002,948.0,932.0,16.0,18.37,running,14.0,,OP02,INS0002,9.651,,10.5,no_defect,none,,True,False,False,99.0,False,False
2026-01-01 06:15:00,FR01,L03,M04,P002,BATCH001,WO1001,,861.0,1.0,18.32,running,46.0,35.0,OP02,INS0003,10.087,9.5,10.5,no_defect,none,minor,True,False,False,91.0,False,True
2026-01-01 06:20:00,FR02,L03,M03,P003,BATCH003,WO1002,853.0,825.0,28.0,16.09,running,4.0,12.0,OP01,INS0004,9.795,9.5,10.5,no_defect,none,minor,True,False,False,93.0,False,True
2026-01-01 06:25:00,FR02,L01,M02,P001,BATCH001,WO1002,1127.0,1103.0,24.0,21.04,running,44.0,29.0,OP03,INS0005,9.651,9.5,10.5,no_defect,none,minor,True,False,False,97.0,False,True
2026-01-01 06:30:00,,L01,M04,P003,BATCH003,WO1003,956.0,909.0,47.0,20.55,running,53.0,19.0,OP01,INS0006,9.989,9.5,10.5,no_defect,none,minor,True,False,False,94.0,False,True
2026-01-01 06:35:00,FR01,L03,M02,P003,BATCH003,WO1001,,1108.0,34.0,21.88,running,18.0,22.0,OP02,INS0007,10.146,9.5,10.5,no_defect,none,minor,True,False,False,93.0,False,True
2026-01-01 06:40:00,FR02,,M04,,BATCH001,WO1002,976.0,940.0,36.0,,stopped,2.0,34.0,,INS0008,9.797,9.5,10.5,no_defect,none,minor,True,False,False,98.0,False,True
2026-01-01 06:45:00,FR02,L02,M02,P003,BATCH003,WO1003,975.0,931.0,44.0,20.99,running,15.0,38.0,OP01,INS0009,10.142,9.5,10.5,no_defect,none,minor,True,False,False,90.0,False,True
2026-01-01 06:50:00,FR02,L03,M01,P001,BATCH001,WO1002,991.0,972.0,19.0,21.04,running,13.0,12.0,,INS0010,,9.5,10.5,no_defect,none,minor,True,False,False,95.0,False,True
2026-01-01 06:55:00,FR02,L03,M03,P001,BATCH003,WO1003,987.0,973.0,14.0,22.43,running,13.0,23.0,OP02,INS0011,9.936,9.5,10.5,no_defect,none,minor,True,False,False,99.0,False,True
2026-01-01 07:00:00,FR02,L03,M01,P001,BATCH003,WO1002,880.0,833.0,166.25937598487235,18.81,running,22.0,39.0,OP03,INS0012,9.97,9.5,10.5,no_defect,none,minor,True,False,False,93.0,False,True
2026-01-01 07:05:00,FR01,L01,M01,P002,BATCH003,WO1003,1134.0,1125.0,9.0,23.96,maintenance,5.0,20.0,OP03,INS0013,9.934,9.5,10.5,no_defect,none,minor,True,False,False,95.0,,
